accession,ticker,filed_at,price_available
0000320193-20-000060,AAPL,2020-07-30,True
0001193125-20-213158,AAPL,2020-08-03,True
0001193125-20-225672,AAPL,2020-08-13,True
0000320193-20-000096,AAPL,2020-09-26,True
0000320193-20-000094,AAPL,2020-10-29,True
0000320193-21-000010,AAPL,2020-12-26,True
0001193125-21-001982,AAPL,2020-12-29,True
0000320193-21-000009,AAPL,2021-01-27,True
0001193125-21-032394,AAPL,2021-02-01,True
0001193125-21-054710,AAPL,2021-02-23,True
0000320193-21-000056,AAPL,2021-03-27,True
0000320193-21-000055,AAPL,2021-04-28,True
0000320193-21-000065,AAPL,2021-06-26,True
0000320193-21-000063,AAPL,2021-07-27,True
0001193125-21-237787,AAPL,2021-07-29,True
0000320193-21-000105,AAPL,2021-09-25,True
0000320193-21-000104,AAPL,2021-10-28,True
0001193125-21-328151,AAPL,2021-11-09,True
0000320193-22-000007,AAPL,2021-12-25,True
0000320193-22-000006,AAPL,2022-01-27,True
0001193125-22-066169,AAPL,2022-03-04,True
0000320193-22-000059,AAPL,2022-03-26,True
0000320193-22-000058,AAPL,2022-04-28,True
0000320193-22-000070,AAPL,2022-06-25,True
0000320193-22-000069,AAPL,2022-07-28,True
0001193125-22-214914,AAPL,2022-08-01,True
0001193125-22-225365,AAPL,2022-08-17,True
0000320193-22-000108,AAPL,2022-09-24,True
0000320193-22-000107,AAPL,2022-10-27,True
0001193125-22-278435,AAPL,2022-11-06,True
0000320193-23-000006,AAPL,2022-12-31,True
0000320193-23-000005,AAPL,2023-02-02,True
0001140361-23-011192,AAPL,2023-03-10,True
0000320193-23-000064,AAPL,2023-04-01,True
0000320193-23-000063,AAPL,2023-05-04,True
0001140361-23-023909,AAPL,2023-05-08,True
0000320193-23-000077,AAPL,2023-07-01,True
0000320193-23-000075,AAPL,2023-08-03,True
0000320193-23-000106,AAPL,2023-09-30,True
0000320193-23-000104,AAPL,2023-11-02,True
0000320193-24-000006,AAPL,2023-12-30,True
